HudongItem,relation,NewNode
泰国,contains administrative territorial entity,加拉信府
梁启超,child,梁思礼
公牛,cast member,Ugo Conti
阳城县,contains administrative territorial entity,西河乡
BC,official symbol,Pacific Dogwood
苏联,head of government,尼古拉·亚历山德罗维奇·吉洪诺夫
泰国,contains administrative territorial entity,坤敬府
灰雁,instance of,生物分类单元
粉链蛇,instance of,生物分类单元
Steno,instance of,人类
卫,instance of,administrative territorial entity of a single country
公牛,cast member,Alberto Lattuada
阳城县,contains administrative territorial entity,演礼乡
苏联,head of government,尼古拉·伊万诺维奇·雷日科夫
泰国,contains administrative territorial entity,黎府
胰脂肪酶,instance of,药物治疗
梁启超,occupation,作家
公牛,director of photography,Alessandro Pesci
阳城县,contains administrative territorial entity,固隆乡
BC,topic's main Wikimedia portal,Portal:British Columbia
苏联,head of government,瓦连京·谢尔盖耶维奇·帕夫洛夫
泰国,contains administrative territorial entity,玛哈沙拉堪府
Trent,instance of,男性人名
尚志县,instance of,县级市
本子,instance of,维基媒体消歧义页
物种形成,subclass of,演化过程
大雪山,instance of,non-geologically related mountain range
豚鹿,instance of,生物分类单元
灰雁,parent taxon,雁属
胰脂肪酶,instance of,生物治疗
粉链蛇,parent taxon,白环蛇属
卫,located in the administrative territorial entity,图博
梁启超,occupation,新闻工作者
公牛,production designer,Leonardo Scarpa
阳城县,contains administrative territorial entity,董封乡
BC,topic's main category,Category:不列颠哥伦比亚
苏联,head of government,伊万·斯捷潘诺维奇·西拉耶夫
泰国,contains administrative territorial entity,莫拉限府
钙长石,named after,a-
灰雁,IUCN conservation status,无危物种
胰脂肪酶,instance of,essential medicine
粉链蛇,original combination,Dinodon rosozonatum
Steno,given name,斯蒂法诺
Watson,has list,People with surname Watson
公牛,composer,Ivano Fossati
阳城县,contains administrative territorial entity,驾岭乡
BC,category of associated people,Category:不列颠哥伦比亚省人
泰国,contains administrative territorial entity,那空拍侬府
相干性,described by source,亚美尼亚苏维埃百科全书
rosette,subclass of,plant-derived motif
松鼠猴,instance of,生物分类单元
Cho,instance of,汉姓
Abundance,instance of,画作
尚志县,located in the administrative territorial entity,哈尔滨市
物种形成,topic's main category,Category:物种形成
大雪山,located in the administrative territorial entity,新南威尔士州
豚鹿,parent taxon,Axis
胰脂肪酶,pregnancy category,US pregnancy category C
粉链蛇,IUCN conservation status,数据缺乏
Steno,family name,Vanzina
公牛,producer,Mario Cecchi Gori
阳城县,contains administrative territorial entity,东城街道 (阳城县)
BC,category for people born here,Category:Births in British Columbia
泰国,contains administrative territorial entity,呵叻府
Cho,has list,People with surname Zhang
Abundance,location,普拉多博物馆
钙长石,crystal system,三斜晶系
尚志县,contains administrative territorial entity,尚志镇
库尔干,capital of,库尔干州
物种形成,described by source,亚美尼亚苏维埃百科全书
大雪山,highest point,科修斯科山
豚鹿,taxon synonym,Hyelaphus porcinus
公牛,producer,维托里奥·切奇·高里
阳城县,located in time zone,UTC+08:00
BC,category for people who died here,Category:Death in British Columbia
泰国,contains administrative territorial entity,廊磨喃蒲府
stone,has cause,stone formation
榆次县,capital,新建街道 (晋中市)
松鼠猴,parent taxon,松鼠猴属
Cho,topic's main category,Category:张姓
Abundance,creator,小扬·布吕赫尔
钙长石,point group,triclinic-pinacoidal
尚志县,contains administrative territorial entity,一面坡镇
库尔干,head of government,Viktor Serkov
物种形成,described by source,Great Soviet Encyclopedia (1926—1947)
大雪山,topic's main category,Category:Snowy Mountains
豚鹿,taxon synonym,Cervus porcinus
梁启超,doctoral advisor,康有为
BC,category for films shot at this location,Category:不列颠哥伦比亚取景电影
泰国,contains administrative territorial entity,廊开府
stone,topic's main category,Category:石头
榆次县,located in the administrative territorial entity,晋中市
松鼠猴,IUCN conservation status,无危物种
Cho,different from,Zhang
Abundance,collection,普拉多博物馆
钙长石,space group,space group 2
尚志县,contains administrative territorial entity,苇河镇
库尔干,head of government,Sergey Rudenko
大雪山,mountain range,澳大利亚阿尔卑斯山脉
豚鹿,original combination,Cervus porcinus
Steno,place of burial,Cimitero Flaminio
BC,geography of topic,卑诗省地理
苏联,diplomatic relation,罗马尼亚
泰国,contains administrative territorial entity,黎逸府
榆次县,contains administrative territorial entity,北关街道 (晋中市)
尚志县,contains administrative territorial entity,亚布力镇
库尔干,award received,劳工红旗勳章
豚鹿,IUCN conservation status,濒危物种
Steno,child,卡罗·瓦兹纳
梁启超,topic's main category,Category:梁启超
BC,history of topic,History of British Columbia
泰国,contains administrative territorial entity,色军府
榆次县,contains administrative territorial entity,锦纶街道
钙长石,IMA status and/or rank,grandfathered mineral (G)
尚志县,contains administrative territorial entity,帽儿山镇
库尔干,located in time zone,UTC+05:00
Steno,occupation,电影导演
梁启超,described by source,Krugosvet
BC,described by source,天主教百科全书
泰国,contains administrative territorial entity,四色菊府
榆次县,contains administrative territorial entity,新华街道 (晋中市)
钙长石,IMA status and/or rank,published before 1959
尚志县,contains administrative territorial entity,亮河镇
库尔干,list of monuments,List of cultural heritage monuments in Kurgan Kurgan Oblast
Steno,occupation,编剧
梁启超,described by source,Nordisk familjebok
BC,described by source,亚美尼亚苏维埃百科全书
泰国,contains administrative territorial entity,素辇府
榆次县,contains administrative territorial entity,西南街道
钙长石,type locality,索马山
尚志县,contains administrative territorial entity,庆阳镇 (尚志市)
库尔干,topic's main category,Category:Kurgan Kurgan Oblast
泰国,contains administrative territorial entity,乌汶府
榆次县,contains administrative territorial entity,路西街道
钙长石,described by source,亚美尼亚苏维埃百科全书
尚志县,contains administrative territorial entity,石头河子镇
库尔干,category of associated people,Category:People from Kurgan Kurgan Oblast
泰国,contains administrative territorial entity,乌隆府
榆次县,contains administrative territorial entity,经纬街道
尚志县,contains administrative territorial entity,元宝镇
库尔干,category for people who died here,Category:Deaths in Kurgan
泰国,contains administrative territorial entity,益梭通府
榆次县,contains administrative territorial entity,安宁街道 (晋中市)
尚志县,contains administrative territorial entity,黑龙宫镇
苏联,diplomatic relation,圣座
泰国,contains administrative territorial entity,汶干府
榆次县,contains administrative territorial entity,新建街道 (晋中市)
尚志县,contains administrative territorial entity,长寿乡
泰国,contains administrative territorial entity,红统府
sieve,subclass of,Subfunctor
透镜,subclass of,technological component
托马斯,instance of,男性人名
领袖,instance of,职业
红萝卜,instance of,food ingredient
榆次县,contains administrative territorial entity,晋华街道
尚志县,contains administrative territorial entity,乌吉密乡
泰国,contains administrative territorial entity,大城府
芳香烃,subclass of,芳香化合物
癌,subclass of,cell type cancer
透镜,use,firelighting
托马斯,named after,双胞胎
领袖,field of this occupation,领导
榆次县,contains administrative territorial entity,乌金山镇
尚志县,contains administrative territorial entity,鱼池朝鲜族乡
安达曼群岛,instance of,群岛
复兴岛,instance of,岛屿
多普勒效应,instance of,物理现象
亚目,instance of,分类级别
刀鱼,instance of,维基媒体消歧义页
合成代谢,subclass of,化学合成
芳香烃,topic's main category,Category:芳香烃
透镜,has quality,光学倍率
领袖,topic's main category,Category:Leaders
榆次县,contains administrative territorial entity,东阳镇 (晋中市)
尚志县,contains administrative territorial entity,珍珠山乡
泰国,contains administrative territorial entity,猜纳府
多普勒效应,named after,克里斯蒂安·多普勒
Dahl,language of work or name,丹麦语
PCV,instance of,药物治疗
合成代谢,part of,代谢
芳香烃,described by source,亚美尼亚苏维埃百科全书
癌,drug used for treatment,cabazitaxel
透镜,has quality,透射比
领袖,different from,Leader
红萝卜,subclass of,finger food
榆次县,contains administrative territorial entity,什贴镇
尚志县,contains administrative territorial entity,老街基乡
泰国,contains administrative territorial entity,甘烹碧府
非金属元素,subclass of,化学元素
HMT,instance of,英国政府部门
银川,instance of,地级市
mod,subclass of,电子游戏
UG,instance of,公立大学
牛鞭草属,instance of,生物分类单元
安达曼群岛,located in the administrative territorial entity,安达曼-尼科巴群岛
多普勒效应,topic's main category,Category:多普勒效应
亚目,topic's main category,Category:Suborders
Dahl,language of work or name,瑞典语
PCV,subclass of,抗病毒药物
合成代谢,opposite of,异化作用
托马斯,significant event,most frequent first names at birth in Rotterdam (1811-1913)
榆次县,contains administrative territorial entity,长凝镇
尚志县,contains administrative territorial entity,马延乡
泰国,contains administrative territorial entity,华富里府
HMT,office held by head of the organisation,财政大臣
UG,instance of,大学
安达曼群岛,located in or next to body of water,孟加拉湾
多普勒效应,described by source,亚美尼亚苏维埃百科全书
PCV,subclass of,antibacterial
芳香烃,has part,氢
癌,drug used for treatment,olaparib
透镜,described by source,亚美尼亚苏维埃百科全书
托马斯,significant event,frequency of first names in the Netherlands 2010
红萝卜,natural product of taxon,Daucus carota subsp. sativus
榆次县,contains administrative territorial entity,北田镇
尚志县,contains administrative territorial entity,河东朝鲜族乡
泰国,contains administrative territorial entity,坤西育府
大同市,instance of,地级市
前中期,instance of,生物过程
赤峰市,instance of,地级市
非金属元素,topic's main category,Category:非金属
仙游县,located in the administrative territorial entity,莆田市
mod,part of,电子游戏
安达曼群岛,topic's main category,Category:Andaman Islands
PCV,subclass of,Nucleoside analogue
癌,drug used for treatment,nilutamide
榆次县,contains administrative territorial entity,修文镇 (晋中市)
尚志县,located in time zone,UTC+08:00
苏联,diplomatic relation,东加
泰国,contains administrative territorial entity,佛统府
时间常数,described by source,ISO 80000–3:2006: Quantities and units—Part 3: Space and time
前中期,subclass of,mitotic cell cycle phase
179年,part of,170年代
非金属元素,described by source,亚美尼亚苏维埃百科全书
HMT,location,Government Offices Great George Street
仙游县,contains administrative territorial entity,鲤城街道
mod,facet of,游戏制作
UG,country,迦纳
牛鞭草属,topic's main category,Category:Hemarthria
安达曼群岛,described by source,俄语百科全书
Dahl,said to be the same as,Dahle
PCV,active ingredient in,Denavir
癌,drug used for treatment,曲妥珠单抗
托马斯,name day,12月21日
榆次县,contains administrative territorial entity,郭家堡乡
尚志县,topic's main category,Category:尚志市
苏联,diplomatic relation,万那杜
泰国,contains administrative territorial entity,北榄坡府
前中期,follows,前期
179年,follows,178年
HMT,headquarters location,伦敦
银川,contains administrative territorial entity,兴庆区
仙游县,contains administrative territorial entity,枫亭镇
安达曼群岛,described by source,Encyclopedic Lexicon
Dahl,said to be the same as,Dahll
PCV,medical condition treated,Epstein–Barr virus infection
癌,drug used for treatment,阿那曲唑
榆次县,contains administrative territorial entity,张庆乡
泰国,contains administrative territorial entity,暖武里府
赤峰市,contains administrative territorial entity,红山区
HMT,located on street,骑兵卫队路
银川,contains administrative territorial entity,西夏区
仙游县,contains administrative territorial entity,榜头镇
UG,located in the administrative territorial entity,Legon
安达曼群岛,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
Dahl,said to be the same as,Dal
PCV,medical condition treated,生殖器疱疹
癌,drug used for treatment,tolvaptan
托马斯,given name version for other gender,Thomasina
榆次县,contains administrative territorial entity,庄子乡
苏联,member of,华沙条约组织
泰国,contains administrative territorial entity,巴吞他尼府
赤峰市,contains administrative territorial entity,元宝山区
179年,topic's main category,Category:179年
HMT,topic's main category,Category:HM Treasury
银川,contains administrative territorial entity,金凤区
仙游县,contains administrative territorial entity,郊尾镇
UG,subsidiary,Noguchi Memorial Institute for Medical Research
安达曼群岛,has part,Sentinel Islands
Dahl,said to be the same as,Dale
PCV,route of administration,外用
癌,drug used for treatment,利多卡因
榆次县,contains administrative territorial entity,东赵乡
苏联,member of,欧洲安全与合作组织
泰国,contains administrative territorial entity,碧差汶府
赤峰市,contains administrative territorial entity,松山区
仙游县,contains administrative territorial entity,度尾镇
PCV,pregnancy category,Australian pregnancy category B1
癌,drug used for treatment,依维莫司
托马斯,said to be the same as,托马索
榆次县,located in time zone,UTC+08:00
苏联,member of,经济互助委员会
泰国,contains administrative territorial entity,披集府
大同市,contains administrative territorial entity,南郊区
赤峰市,contains administrative territorial entity,阿鲁科尔沁旗
仙游县,contains administrative territorial entity,鲤南镇
UG,topic's main category,Category:University of Ghana
PCV,pregnancy category,US pregnancy category B
癌,drug used for treatment,己烯雌酚
托马斯,said to be the same as,Tomaso
榆次县,topic's main category,Category:榆次区
苏联,member of,国际民用航空组织
泰国,contains administrative territorial entity,彭世洛府
大同市,contains administrative territorial entity,新荣区
银川,contains administrative territorial entity,灵武市
仙游县,contains administrative territorial entity,赖店镇
PCV,subject has role,Nucleic acid inhibitor
癌,drug used for treatment,雷帕霉素
托马斯,said to be the same as,Tomas
泰国,contains administrative territorial entity,素可泰府
大同市,contains administrative territorial entity,阳高县
赤峰市,contains administrative territorial entity,巴林右旗
银川,located in time zone,UTC+08:00
仙游县,contains administrative territorial entity,盖尾镇
癌,drug used for treatment,安维汀
托马斯,said to be the same as,Toomas
苏联,member of,联合国安全理事会
泰国,contains administrative territorial entity,北榄府
大同市,contains administrative territorial entity,天镇县
赤峰市,contains administrative territorial entity,林西县
银川,sister city,莫斯塔尔
仙游县,contains administrative territorial entity,园庄镇
癌,drug used for treatment,Ipilimumab
托马斯,said to be the same as,Tomasz
苏联,significant event,苏联成立条约
泰国,contains administrative territorial entity,龙仔厝府
大同市,contains administrative territorial entity,广灵县
银川,sister city,埃拉特
仙游县,contains administrative territorial entity,大济镇
癌,drug used for treatment,阿西替尼
托马斯,said to be the same as,Theumis
苏联,significant event,苏联解体
泰国,contains administrative territorial entity,夜功府
大同市,contains administrative territorial entity,灵丘县
银川,topic's main category,Category:银川
仙游县,contains administrative territorial entity,龙华镇 (仙游县)
癌,drug used for treatment,瑞戈非尼
托马斯,said to be the same as,Tomaz
苏联,significant event,白拉维拉协议
泰国,contains administrative territorial entity,北标府
大同市,contains administrative territorial entity,浑源县
赤峰市,contains administrative territorial entity,喀喇沁旗
仙游县,contains administrative territorial entity,钟山镇
癌,topic's main category,Category:Carcinoma
苏联,significant event,Great Patriotic War
泰国,contains administrative territorial entity,信武里府
大同市,contains administrative territorial entity,左云县
仙游县,contains administrative territorial entity,游洋镇
托马斯,said to be the same as,Tomáš
苏联,significant event,新经济政策
泰国,contains administrative territorial entity,素攀武里府
大同市,contains administrative territorial entity,大同县
赤峰市,contains administrative territorial entity,敖汉旗
仙游县,contains administrative territorial entity,西苑乡
托马斯,said to be the same as,Tomé
苏联,significant event,经济改革
泰国,contains administrative territorial entity,乌泰他尼府
大同市,located in time zone,UTC+08:00
赤峰市,located in time zone,UTC+08:00
仙游县,contains administrative territorial entity,石苍乡
托马斯,said to be the same as,Tomasso
苏联,significant event,停滞时代
泰国,contains administrative territorial entity,北柳府
大同市,sister city,大牟田市
赤峰市,topic's main category,Category:赤峰
仙游县,contains administrative territorial entity,社硎乡
托马斯,said to be the same as,Tomás
苏联,significant event,第二次世界大战
泰国,contains administrative territorial entity,尖竹汶府
大同市,sister city,伯里
仙游县,contains administrative territorial entity,书峰乡
托马斯,said to be the same as,Tomos
泰国,contains administrative territorial entity,春武里府
大同市,topic's main category,Category:大同
仙游县,contains administrative territorial entity,菜溪乡
托马斯,said to be the same as,Toma
苏联,follows,乌克兰苏维埃社会主义共和国
泰国,contains administrative territorial entity,巴真府
lm,instance of,国际单位制导出单位
金钱槭,instance of,生物分类单元
哈里亚纳邦,instance of,state of India
瓢儿菜,instance of,维基媒体消歧义页
仙游县,located in time zone,UTC+08:00
托马斯,said to be the same as,Tommy
苏联,follows,白俄罗斯苏维埃社会主义共和国
泰国,contains administrative territorial entity,罗勇府
波长,described by source,ISO 80000–3:2006: Quantities and units—Part 3: Space and time
Satellite,instance of,歌曲
哈里亚纳邦,official language,印地语
仙游县,topic's main category,Category:仙游县
托马斯,said to be the same as,Tomi
苏联,follows,外高加索苏维埃社会主义联邦共和国
泰国,contains administrative territorial entity,沙缴府
偏见,subclass of,cognitive perspective
阿尔斯特,instance of,比利时直辖市
杨属,instance of,生物分类单元
lm,based on,立体角
金钱槭,parent taxon,金钱槭属
Satellite,part of,My Cassette Player
black,subclass of,absorbed or reflected object light
托马斯,said to be the same as,Tommie
苏联,follows,苏维埃俄国
泰国,contains administrative territorial entity,桐艾府
偏见,topic's main template,Template:Biases
阿尔斯特,instance of,Belgian municipality with city privileges
薁,instance of,多环芳香烃
金钱槭,IUCN conservation status,数据缺乏
Satellite,genre,流行音乐
black,subclass of,achromatic color
托马斯,said to be the same as,Tomy
苏联,followed by,后苏联国家
泰国,contains administrative territorial entity,春蓬府
喷气式发动机,instance of,aircraft component
规章,subclass of,中华人民共和国法律
阿肯色州,instance of,美国州份
神龙,instance of,虚构人物
等足目,instance of,生物分类单元
莫尔,instance of,比利时直辖市
Morrow,located in the administrative territorial entity,克莱顿县 (佐治亚州)
偏见,topic's main category,Category:Bias
白长春花,parent taxon,长春花
薁,topic's main category,Category:薁
lm,described by source,亚美尼亚苏维埃百科全书
Satellite,performer,莱娜·迈尔-兰德鲁特
哈里亚纳邦,capital,昌迪加尔
black,has cause,complete absorption of light
托马斯,said to be the same as,Tamás
苏联,followed by,独立国家联合体
泰国,contains administrative territorial entity,甲米府
喷气式发动机,subclass of,航空发动机
规章,topic's main category,Category:中华人民共和国部门规章
神龙,present in work,七龙珠
硼酸,has part,氢
范县,contains administrative territorial entity,城关镇 (范县)
偏见,described by source,Otto's encyclopedia
Satellite,record label,环球唱片
托马斯,said to be the same as,Tommi
苏联,currency,苏联卢布
泰国,contains administrative territorial entity,洛坤府
龙爪枣,instance of,生物分类单元
Perk,instance of,municipality section
紫竹,instance of,生物分类单元
Bacon,instance of,人类
古寺,instance of,七言绝句
等足目,parent taxon,囊虾总目
莫尔,located in the administrative territorial entity,蒂伦豪特区
范县,contains administrative territorial entity,濮城镇
阿尔斯特,located in the administrative territorial entity,阿尔斯特区
杨属,this taxon is source of,poplar wood
哈里亚纳邦,head of state,Kaptan Singh Solanki
black,topic's main category,Category:Black
托马斯,said to be the same as,Tomaž
泰国,contains administrative territorial entity,陶公府
古代哲学,topic's main category,Category:古代哲学
Perk,part of,斯滕奥克尔泽尔
乳酸,instance of,酸度调节剂
喷气式发动机,subclass of,燃气涡轮发动机
阿肯色州,capital,小岩城
等足目,means of locomotion,滚动
莫尔,shares border with,洛默尔
范县,contains administrative territorial entity,龙王庄镇
阿尔斯特,head of government,Christoph D'Haese
杨属,use,poplar
Satellite,composer,朱莉·佛洛斯特
哈里亚纳邦,head of government,Manohar Lal Khattar
泰国,contains administrative territorial entity,北大年府
龙爪枣,parent taxon,枣属
乳酸,instance of,外消旋混合物
喷气式发动机,topic's main category,Category:喷气发动机
等足目,topic's main category,Category:Isopoda
莫尔,shares border with,巴伦
范县,contains administrative territorial entity,高码头镇
阿尔斯特,located in time zone,UTC+01:00
杨属,topic's main category,Category:Populus
Satellite,composer,John Gordon
哈里亚纳邦,contains administrative territorial entity,费尔达巴德县
托马斯,said to be the same as,Thoma
泰国,contains administrative territorial entity,攀牙府
龙爪枣,taxon synonym,Ziziphus zizyphus (L.) H.Karst. (1882)
Perk,located in the administrative territorial entity,斯滕奥克尔泽尔
紫竹,basionym,Bambusa nigra
阿肯色州,highest point,Mount Magazine
莫尔,shares border with,Bergeijk
范县,contains administrative territorial entity,辛庄镇
阿尔斯特,sister city,加布罗沃
杨属,topic's main category,category of Populus by common name
Satellite,lyrics by,朱莉·佛洛斯特
托马斯,said to be the same as,Tomo
泰国,contains administrative territorial entity,博他仑府
紫竹,this taxon is source of,Bambusae Caulis
Bacon,given name,Hyun
乳酸,instance of,药物治疗
阿肯色州,deepest point,Ouachita River
莫尔,shares border with,Bergeijk
范县,contains administrative territorial entity,杨集乡 (范县)
阿尔斯特,shares border with,莱德
Satellite,lyrics by,John Gordon
托马斯,said to be the same as,Tomasi
泰国,contains administrative territorial entity,普吉府
龙爪枣,this taxon is source of,Zizyphi Fructus
Bacon,family name,Byeon
乳酸,medical condition treated,facial dermatosis
阿肯色州,office held by head of government,阿肯色州州长
莫尔,shares border with,Bladel
范县,contains administrative territorial entity,陈庄乡
阿尔斯特,shares border with,阿夫利赫姆
Satellite,award received,欧洲歌唱大赛
托马斯,said to be the same as,Thomes
泰国,contains administrative territorial entity,拉廊府
龙爪枣,IUCN conservation status,无危物种
Bacon,place of birth,富川市
乳酸,medical condition treated,皮肤炎
阿肯色州,head of government,阿萨·贺勤森
莫尔,shares border with,德塞尔
范县,contains administrative territorial entity,白衣阁乡
阿尔斯特,shares border with,登德尔莱厄夫
Satellite,follows,Bee (song)#Lena Meyer-Landrut version
泰国,contains administrative territorial entity,沙敦府
Bacon,occupation,歌手
乳酸,described by source,亚美尼亚苏维埃百科全书
阿肯色州,legislative body,阿肯色州议会
范县,contains administrative territorial entity,王楼镇
阿尔斯特,shares border with,哈尔泰特
Satellite,followed by,Touch a New Day
哈里亚纳邦,shares border with,北阿坎德邦
泰国,contains administrative territorial entity,宋卡府
Bacon,occupation,演员
乳酸,described by source,Otto's encyclopedia
阿肯色州,replaces,阿肯色领地
莫尔,shares border with,阿伦东克
范县,contains administrative territorial entity,颜村铺乡
阿尔斯特,shares border with,埃尔佩-梅雷
泰国,contains administrative territorial entity,素叻府
Bacon,occupation,模特儿
乳酸,monomer of,聚乳酸
阿肯色州,contains administrative territorial entity,阿肯色县
莫尔,shares border with,雷蒂
范县,contains administrative territorial entity,陆集乡
阿尔斯特,shares border with,登德尔蒙德
哈里亚纳邦,shares border with,昌迪加尔
泰国,contains administrative territorial entity,董里府
Bacon,genre,韩国流行音乐
阿肯色州,contains administrative territorial entity,阿什利县
莫尔,coat of arms,coat of arms of Mol
范县,contains administrative territorial entity,张庄乡 (范县)
阿尔斯特,shares border with,莱贝克
哈里亚纳邦,topic's main category,Category:哈里亚纳邦
苏联,shares border with,波兰人民共和国
泰国,contains administrative territorial entity,惹拉府
Bacon,record label,SM娱乐
阿肯色州,contains administrative territorial entity,巴克斯特县
莫尔,topic's main category,Category:Mol Belgium
范县,located in time zone,UTC+08:00
阿尔斯特,shares border with,奥普韦克
哈里亚纳邦,category of associated people,Category:哈里亚纳邦人
泰国,located in time zone,UTC+07:00
Bacon,educated at,庆熙网路大学
阿肯色州,contains administrative territorial entity,本顿县
莫尔,category of associated people,Category:People from Mol Belgium
阿尔斯特,shares border with,阿瑟
哈里亚纳邦,described by source,亚美尼亚苏维埃百科全书
苏联,shares border with,罗马尼亚社会主义共和国
泰国,currency,泰铢
Bacon,instrument,voice
阿肯色州,contains administrative territorial entity,布恩县
阿尔斯特,patron saint,都尔的玛尔定
阿肯色州,contains administrative territorial entity,布拉德利县
阿尔斯特,topic's main category,Category:Aalst Belgium
苏联,foundational text,苏联成立条约
阿肯色州,contains administrative territorial entity,卡尔霍恩县
阿尔斯特,category of associated people,Category:People from Aalst Belgium
苏联,main regulatory text,苏联宪法
阿肯色州,contains administrative territorial entity,卡洛尔县
阿尔斯特,category for people who died here,Category:Deaths in Aalst
苏联,main regulatory text,白拉维拉协议
阿肯色州,contains administrative territorial entity,奇科特县
阿尔斯特,described by source,俄语百科全书
苏联,main regulatory text,Declaration of the USSR Council of the Republics regarding the establishment of the Commonwealth of Independent States
泰国,flag,泰国国旗
阿肯色州,contains administrative territorial entity,克拉克县
阿尔斯特,described by source,Great Soviet Encyclopedia (1926—1947)
苏联,flag,苏联国旗
泰国,coat of arms,泰国国徽
阿肯色州,contains administrative territorial entity,克莱县
阿尔斯特,described by source,Otto's encyclopedia
苏联,coat of arms,苏联国徽
泰国,official symbol,亚洲象
阿肯色州,contains administrative territorial entity,克利本县
阿尔斯特,has part,Herdersem
苏联,top-level Internet domain,.su
香雪兰,instance of,生物分类单元
摩擦学,instance of,specialty
铣床,subclass of,机床
阿肯色州,contains administrative territorial entity,克里夫兰县
阿尔斯特,has part,Baardegem
苏联,topic's main Wikimedia portal,Portal:苏联
泰国,official symbol,亭 (东南亚)
1942年,part of,1940年代
娃娃,topic's main category,Category:玩偶
阿肯色州,contains administrative territorial entity,哥伦比亚县
阿尔斯特,has part,Erembodegem
苏联,topic's main category,Category:苏联
卵泡,instance of,anatomical structure
semolina,subclass of,groat
运动学,subclass of,经典力学
香雪兰,parent taxon,小苍兰
兰德,capital of,弗里蒙特县
娃娃,described by source,亚美尼亚苏维埃百科全书
阿肯色州,contains administrative territorial entity,康韦县
阿尔斯特,has part,Nieuwerkerken
苏联,category of associated people,Category:苏联人
泰国,electrical plug type,Type A
XB,subclass of,蛋白质编码基因
semolina,has effect,麸质敏感性肠病
运动学,topic's main category,Category:运动学
子囊,different from,美国信息交换标准代码
香雪兰,basionym,Gladiolus refracta
兰德,located in the administrative territorial entity,弗里蒙特县
娃娃,said to be the same as,活动军人模型
阿肯色州,contains administrative territorial entity,克雷格黑德县
苏联,category for people who died here,Category:Deaths in the Soviet Union
泰国,electrical plug type,Type B
信念,subclass of,心灵功能
Barberry,instance of,生物分类单元
古马,instance of,人类聚居地
休眠,instance of,animal behavior
西北地区,instance of,territory of Canada
小刀,subclass of,edged and bladed weapon
卵泡,described by source,Gray's Anatomy (20th edition)
semolina,different from,Semolina pudding
运动学,different from,动力学（物理学）
摩擦学,part of,化学
1942年,topic's main category,Category:1942年
阿肯色州,contains administrative territorial entity,克劳福德县
苏联,category for films shot at this location,Category:Films shot in Soviet Union
泰国,electrical plug type,欧式插头
信念,topic's main category,Category:信仰
hCG,instance of,药物治疗
休眠,subclass of,Torpor
XB,encodes,Tenascin XB
semolina,said to be the same as,Semolina
运动学,different from,动力学
摩擦学,topic's main category,Category:摩擦学
1942年,has part,August 1942
阿肯色州,contains administrative territorial entity,克里坦登县
苏联,geography of topic,苏联地理
泰国,electrical plug type,Schuko
信念,described by source,Otto's encyclopedia
古马,located in the administrative territorial entity,北24区县
hCG,instance of,生物治疗
休眠,described by source,Otto's encyclopedia
小刀,use,谋杀
卡法,country,俄罗斯帝国
XB,genetic association,老年黄斑变性
semolina,said to be the same as,谷粉
1942年,has part,December 1942
阿肯色州,contains administrative territorial entity,克罗斯县
苏联,history of topic,苏联历史
泰国,has quality,not-free country
Barberry,IUCN conservation status,易危物种
古马,located in time zone,UTC+05:30
斑马,topic's main category,Category:斑马
hCG,subclass of,placental hormone
西北地区,capital,黄刀镇
小刀,use,collection
卡法,located in the administrative territorial entity,费奥多西亚市
XB,genetic association,红斑性狼疮
semolina,said to be the same as,Semolina porridge
四角形,topic's main category,Category:四边形
1942年,has part,July 1942
阿肯色州,contains administrative territorial entity,达拉斯县
苏联,described by source,亚美尼亚苏维埃百科全书
泰国,top-level Internet domain,.th
古马,different from,Guma
斑马,described by source,亚美尼亚苏维埃百科全书
小刀,used by,屠户
卡法,located in the administrative territorial entity,喀法省
XB,genetic association,human immunodeficiency virus infectious disease
semolina,said to be the same as,Cream of Wheat
1942年,has part,June 1942
阿肯色州,contains administrative territorial entity,迪沙县
泰国,topic's main Wikimedia portal,Portal:泰国
hCG,active ingredient in,Ovitrelle
西北地区,highest point,Mount Nirvana
小刀,used by,厨师
卡法,legislative body,费奥多西亚市
XB,chromosome,6号染色体
1942年,has part,May 1942
阿肯色州,contains administrative territorial entity,德鲁县
泰国,topic's main category,Category:泰国
小刀,topic's main category,Category:刀
卡法,located in time zone,UTC+02:00
XB,strand orientation,Reverse Strand
四角形,has parts of the class,内部
1942年,has part,November 1942
阿肯色州,contains administrative territorial entity,福克纳县
泰国,category of associated people,Category:泰国人
西北地区,office held by head of government,Premier of the Northwest Territories
小刀,has part,blade
卡法,located in time zone,UTC+03:00
XB,ortholog,Tnxb
1942年,has part,October 1942
阿肯色州,contains administrative territorial entity,富兰克林县
泰国,category for people born here,Category:Births in Thailand
西北地区,office held by head of government,Commissioners of the Northwest Territories
小刀,has part,handle
卡法,sister city,拉姆拉
1942年,has part,September 1942
阿肯色州,contains administrative territorial entity,富尔顿县
泰国,category for people who died here,Category:泰国非正常死亡人物
西北地区,office held by head of government,Lieutenant-Governor of the Northwest Territories
卡法,sister city,亚速
1942年,has part,April 1942
阿肯色州,contains administrative territorial entity,加兰县
泰国,category for films shot at this location,Category:泰国取景电影
西北地区,head of government,Bob McLeod
卡法,sister city,科沃布热格
1942年,has part,February 1942
